id	flag	text	ref
0x010000580002068B/Name	0	Цивільна особа	Гражданское лицо
ANNOTATION_ENDURANCE_HEALED	0	{0} од. Стійкості відновлено	{0} ед. Стойкости восстановлено
ANNOTATION_GAINED_XP	0	Отримано досвіду: +{0}	Получено опыта: +{0}
ANNOTATION_ITEM_GAINED	0	Отримано предмет	Получен предмет
ANNOTATION_ITEM_LOST	0	Загублено предмет	Потерян предмет
ANNOTATION_LEVEL_UP	0	+ рівень!	+ уровень!
ANNOTATION_MONEY_GAINED	0	Отримано гроші	Получены деньги
ANNOTATION_MONEY_LOST	0	Втрачено гроші	Потеряны деньги
ANNOTATION_NEW_TASK	0	Нове завдання	Новое задание
ANNOTATION_QUICKTRAVEL_CHURCH	0	Церква	Церковь
ANNOTATION_QUICKTRAVEL_ENABLED	0	Швидке переміщення відкрито	Быстрое перемещение открыто
ANNOTATION_QUICKTRAVEL_FISHING_VILLAGE	0	Хатини рибалок	Хижины рыбаков
ANNOTATION_SECRET_TASK_COMPLETE	0	Виконано секретне завдання	Выполнено секретное задание
ANNOTATION_SLEPT_HOURS	0	Ви спали {0} год.	Вы спали {0} ч.
ANNOTATION_SUBSTANCE_USED	0	Використано речовину	Использовано вещество
ANNOTATION_TASK_COMPLETE	0	Завдання виконано	Задание выполнено
ANNOTATION_THOUGHT_GAINED	0	Нова думка	Новая мысль
ANNOTATION_VOLITION_REGAINED	0	{0} од. Сили волі відновлено	{0} ед. Силы воли восстановлено
ANNOTATION_XP_GAINED_PREFIX	0	0	0
ANNOTATION_XP_GAINED_SUFFIX	0	очк. досвіду	очк. опыта
Abilities/ABILITY_ADJUST_TITLE	0	Налаштувати здібності	Настроить способности
Abilities/ABILITY_GRADE_1	0	Жахливо	Ужасно
Abilities/ABILITY_GRADE_2	0	Слабо	Слабо
Abilities/ABILITY_GRADE_3	0	Середньо	Средне
Abilities/ABILITY_GRADE_4	0	Добре	Хорошо
Abilities/ABILITY_GRADE_5	0	Чудово	Отлично
Abilities/ABILITY_GRADE_6	0	Геніально	Гениально
Abilities/ABILITY_NAME_FYS	0	Фізіологія	Физиология
Abilities/ABILITY_NAME_INT	0	Інтелект	Интеллект
Abilities/ABILITY_NAME_MOT	0	Моторика	Моторика
Abilities/ABILITY_NAME_PSY	0	Психіка	Психика
Abilities/ABILITY_SHORT_FYS	0	Фіз	Физ
Abilities/ABILITY_SHORT_INT	0	Інт	Инт
Abilities/ABILITY_SHORT_MOT	0	Мот	Мот
Abilities/ABILITY_SHORT_PSY	0	Пси	Пси
Abilities/ABILIY_DESC_FYS	0	Ваша мускулатура - наскільки ви сильні.	Ваша мускулатура — насколько вы сильны.
Abilities/ABILIY_DESC_INT	0	Розумові здібності - наскільки ви розумні.	Мыслительные способности — насколько вы умны.
Abilities/ABILIY_DESC_MOT	0	Ваше сприйняття і реакція - наскільки ви спритні.	Ваше восприятие и реакция — насколько вы проворны.
Abilities/ABILIY_DESC_PSY	0	Чутливість - наскільки ви емоційно сприйнятливі.	Чувствительность — насколько вы эмоционально восприимчивы.
Actors/0x0100000000000445/Name	0	Кім Кіцурагі	Ким Кицураги
Actors/0x0100000000000449/Name	0	Клаас'є (міс Танцівниця Оранська)	Клаасье (мисс Танцовщица Оранская)
Actors/0x010000000000044D/Name	0	Олена, дружина криптозоолога	Лена, жена криптозоолога
Actors/0x01000000000004FC/Name	0	Куно	Куно
Actors/0x0100000000000500/Name	0	Кунесса	Куна
Actors/0x010000000000053C/Name	0	Курець на балконі	Курильщик на балконе
Actors/0x0100000000000559/Name	0	Первісний рептильний мозок	Древний рептильный мозг
Actors/0x010000000000057C/Name	0	Ти	Ты
Actors/0x0100000000000658/Name	0	Лімбічна система	Лимбическая система
Actors/0x01000001000003B4/Name	0	РЕДАКТОР	РЕДАКТОР
